192.168.0.12 - - [26/May/2024:03:50:31 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:50:31 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:50:31 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:50:46 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:50:46 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:50:46 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:51:01 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:51:01 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:51:01 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:51:16 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:51:16 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:51:16 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:51:54 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:51:54 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:51:54 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:52:09 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:52:09 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:52:09 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:52:24 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:52:24 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:52:24 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:52:39 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:52:39 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:52:39 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:52:54 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:52:54 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:52:54 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:53:09 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:53:09 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:53:09 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:54:27 +1000] "GET /status.txt HTTP/1.1" 304 -
192.168.0.12 - - [26/May/2024:03:54:27 +1000] "GET /favicon.ico HTTP/1.1" 404 196
192.168.0.12 - - [26/May/2024:03:54:39 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:54:39 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:54:39 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:54:59 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:54:59 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:54:59 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:55:14 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:55:14 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:55:14 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:55:28 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:55:29 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:55:29 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:55:44 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:55:44 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:55:44 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:55:59 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:55:59 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:55:59 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:56:20 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:56:21 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:56:21 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:56:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:56:36 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:56:36 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:56:51 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:56:51 +1000] "GET /index.js HTTP/1.1" 200 171
